player_name,Pos,Age,Tm,G,salary,WAR,PPG,PPM,APG,APM,RPG,RPM,OPG,DPG,SPG,BPG,TPG,FPG,eFGp,PER,TSp,OWS,DWS,WS,WSpG
Aaron Gordon,PF,23,ORL,78,21590909,4.59,15.974,0.473,3.705,0.11,7.359,0.218,1.654,5.705,0.731,0.718,2.077,2.205,0.507,15.1,0.538,1.8,3.3,5.1,0.093
Aaron Holiday,PG,22,IND,50,1914480,0.27,5.88,0.455,1.74,0.135,1.34,0.104,0.1,1.24,0.42,0.26,0.8,1.42,0.483,11.9,0.518,0.1,0.8,0.9,0.065
Abdel Nader,SF,25,OKC,61,1378242,-0.54,3.951,0.347,0.328,0.029,1.902,0.167,0.23,1.672,0.328,0.197,0.426,1.115,0.498,8.8,0.522,0,0.9,0.9,0.062
Al-Farouq Aminu,PF,28,POR,81,6957105,4.050000000000001,9.383,0.332,1.284,0.045,7.531,0.266,1.383,6.148,0.84,0.407,0.889,1.765,0.514,13.2,0.568,3,2.8,5.8,0.121
Al Horford,C,32,BOS,68,28928710,9.72,13.603,0.469,4.162,0.143,6.735,0.232,1.765,4.971,0.868,1.265,1.5,1.853,0.586,20.2,0.605,4.5,2.9,7.5,0.181
Alec Burks,SG,27,TOT,64,11536515,0.81,8.766,0.408,2,0.093,3.672,0.171,0.469,3.203,0.609,0.328,1.016,1.422,0.469,12.7,0.523,0.7,0.8,1.5,0.052
Alex Abrines,SG,25,OKC,31,3667645,-0.54,5.323,0.281,0.645,0.034,1.548,0.082,0.161,1.387,0.548,0.194,0.452,1.71,0.487,6.3,0.507,0.1,0.6,0.6,0.053
Alex Len,C,25,ATL,77,4350000,0.81,11.091,0.553,1.117,0.056,5.506,0.275,2.052,3.455,0.351,0.896,1.26,2.597,0.551,17.2,0.575,2.2,1,3.2,0.1
Alfonzo McKinnie,SF,26,GSW,72,1349383,-1.08,4.681,0.336,0.431,0.031,3.431,0.246,1.125,2.306,0.25,0.208,0.417,1.861,0.564,11.2,0.569,1.2,0.9,2.1,0.1
Allen Crabbe,SG,26,BRK,43,19332500,-0.54,9.605,0.365,1.07,0.041,3.442,0.131,0.372,3.07,0.535,0.302,1.07,2.372,0.499,7.7,0.519,-0.2,1,0.8,0.035
Allonzo Trier,SG,23,NYK,64,3382000,-1.08,10.859,0.476,1.859,0.082,3.078,0.135,0.484,2.594,0.438,0.219,1.812,1.828,0.498,12.2,0.564,0.4,0.5,0.9,0.03
Amir Johnson,C,31,PHI,51,2393887,0,3.941,0.38,1.176,0.113,2.882,0.278,0.922,1.961,0.314,0.255,0.882,1.941,0.541,13.1,0.574,0.4,0.7,1.1,0.098
Andre Drummond,C,25,DET,79,25434262,7.290000000000001,17.342,0.518,1.418,0.042,15.595,0.465,5.354,10.241,1.722,1.747,2.215,3.443,0.536,23.4,0.555,4.1,5.9,10,0.181
Andre Iguodala,SF,35,GSW,68,16000000,4.050000000000001,5.721,0.247,3.176,0.137,3.706,0.16,0.706,3,0.897,0.75,0.765,1.397,0.579,13.1,0.587,2.4,1.8,4.2,0.129
Andrew Wiggins,SF,23,MIN,73,25467250,-1.62,18.096,0.519,2.521,0.072,4.822,0.138,1.137,3.685,0.959,0.658,1.89,2.096,0.461,12.4,0.493,-0.6,1.3,0.6,0.012
Ante Zizic,C,22,CLE,59,1952760,-0.81,7.78,0.424,0.898,0.049,5.424,0.296,1.831,3.593,0.22,0.373,1.034,1.915,0.553,16.2,0.59,1.7,0.3,2,0.087
Anthony Davis,C,25,NOP,56,25434263,14.31,25.929,0.785,3.893,0.118,12,0.363,3.107,8.893,1.571,2.411,2,2.357,0.54,30.3,0.597,6.4,3.1,9.5,0.247
Anthony Tolliver,PF,33,MIN,65,5750000,-0.27,5.015,0.302,0.708,0.043,2.723,0.164,0.231,2.492,0.262,0.323,0.554,1.4,0.539,8.6,0.571,0.6,0.5,1.2,0.052
Antonio Blakeney,SG,22,CHI,57,1349383,-1.89,7.333,0.504,0.737,0.051,1.86,0.128,0.123,1.737,0.211,0.158,0.614,0.719,0.465,10.6,0.487,-0.8,0.3,-0.5,-0.03
Aron Baynes,C,32,BOS,51,5193600,0.27,5.569,0.346,1.118,0.069,4.706,0.292,1.725,2.98,0.235,0.667,0.784,2.451,0.518,14,0.567,1.3,1.1,2.4,0.139
Austin Rivers,SG,26,TOT,76,13155324,-2.9700000000000006,8.132,0.305,2.197,0.082,2.132,0.08,0.329,1.803,0.618,0.303,0.895,2.724,0.497,7.7,0.503,0.4,0.8,1.2,0.028
Avery Bradley,SG,28,TOT,63,12000000,-2.16,9.921,0.328,2.413,0.08,2.778,0.092,0.683,2.095,0.651,0.254,1.413,2.651,0.479,7.6,0.496,-0.6,1,0.3,0.009
Bam Adebayo,C,21,MIA,82,2955840,4.86,8.89,0.381,2.244,0.096,7.28,0.312,2.012,5.268,0.866,0.793,1.476,2.476,0.579,17.9,0.623,3.4,3.4,6.8,0.171
Ben Simmons,PG,22,PHI,79,6434520,10.26,16.924,0.495,7.722,0.226,8.823,0.258,2.177,6.646,1.418,0.772,3.468,2.646,0.563,20,0.582,4.6,3.6,8.2,0.146
Bismack Biyombo,C,26,CHO,54,17000000,-0.27,4.37,0.301,0.611,0.042,4.574,0.315,1.5,3.074,0.204,0.759,0.63,1.907,0.571,14.4,0.602,1.2,0.8,2,0.125
Blake Griffin,PF,29,DET,75,31873932,12.690000000000001,24.547,0.702,5.36,0.153,7.533,0.215,1.333,6.2,0.693,0.373,3.373,2.653,0.532,21,0.581,5.1,2.9,8,0.147
